Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,3.2,9.7,160.5,85,591,28,85
2,5.4,16.9,153.6,97,632,27,85
3,7.4,23.9,143.7,118,705,30,86
4,9.5,31.3,140.4,126,735,29,87
5,11.5,38.5,140.4,126,735,29,89
6,13.6,46.5,135.1,142,788,28,90
7,15.8,54.5,137.2,136,766,27,92
8,17.9,62.1,138.1,133,757,29,95
9,20.0,69.6,137.3,135,765,29,98
10,22.0,77.3,133.1,148,810,30,99
11,24.1,85.2,133.1,148,810,29,100
12,26.2,93.0,133.8,146,802,29,100
13,28.3,101.0,134.1,145,799,28,101
14,30.4,108.9,134.1,145,799,28,101
15,32.4,116.7,131.3,155,832,29,102
16,34.5,124.8,131.3,155,832,29,102
17,36.6,132.9,130.9,156,837,29,104
18,38.7,141.0,128.2,166,871,29,105
19,40.7,149.3,126.0,175,902,29,106
20,42.9,157.8,126.1,175,900,29,107
21,45.0,166.3,126.3,174,897,28,109
22,47.1,174.6,126.8,172,890,29,109
23,49.2,183.0,127.1,170,886,28,112
24,51.3,191.4,124.7,180,921,29,114
25,53.4,199.7,124.5,181,924,29,116
26,55.5,208.1,124.9,180,918,29,119
27,57.5,216.3,125.1,179,915,29,122
28,59.6,224.9,125.1,179,915,29,125
29,61.7,233.6,122.4,191,956,28,127
30,63.9,242.3,124.7,180,921,28,129
31,66.0,250.8,123.5,186,939,28,131
32,68.2,259.9,121.8,194,966,28,133
33,70.3,268.6,119.5,205,1005,29,133
34,72.4,277.4,119.7,204,1002,28,133
35,74.5,285.9,119.7,204,1002,28,134
36,76.6,294.6,122.6,190,953,29,134
37,78.6,303.1,122.9,189,948,28,134
38,80.7,311.6,121.5,195,971,29,135
39,82.8,320.3,121.9,193,964,29,137
40,84.8,328.6,121.8,194,966,29,137
41,86.9,337.0,122.2,192,960,29,137
42,89.0,345.6,121.9,193,964,29,136
43,91.1,354.0,123.3,187,942,29,136
44,93.1,362.3,121.5,195,971,30,135
45,95.2,370.9,122.0,193,963,29,135
46,97.2,379.0,123.8,184,934,30,137
47,99.2,387.3,123.2,187,944,29,139
48,101.2,395.7,121.5,195,971,30,143
49,103.3,404.1,122.9,189,948,29,145
50,105.4,412.7,123.3,187,942,29,145
51,107.5,421.1,125.0,179,916,28,145
52,109.6,429.5,125.0,179,916,28,145
53,111.8,438.2,123.8,184,934,28,144
54,113.8,446.4,124.0,184,931,29,142
55,115.9,455.2,123.9,184,933,28,140
56,118.1,463.9,123.9,184,933,28,139
57,120.2,472.0,125.3,178,912,29,139
58,122.3,480.5,124.1,183,930,28,138
59,124.4,489.3,124.1,183,930,28,137
60,126.5,497.5,124.4,182,925,28,137
61,128.6,506.0,124.5,181,924,29,136
62,130.7,514.6,124.5,181,924,28,135
63,132.8,523.0,125.2,178,913,28,134
64,134.9,531.5,124.7,180,921,29,133
65,137.2,540.4,126.5,173,895,27,133
66,139.3,548.7,126.5,173,895,27,135
67,141.4,557.4,125.2,178,913,28,136
68,143.6,566.0,123.7,185,936,28,138
69,145.7,574.8,123.7,185,936,28,139
70,147.9,583.5,125.1,179,915,28,140
71,150.0,592.1,125.1,179,915,28,141
72,152.2,600.7,127.3,170,883,28,141
73,154.4,609.4,128.4,165,869,27,141
74,156.5,617.5,126.5,173,895,29,141
75,158.6,626.3,126.5,173,895,29,139
76,160.7,634.9,122.9,189,948,28,140
77,162.8,643.4,123.6,185,937,28,140
78,165.0,651.9,126.0,175,902,28,140
79,167.1,660.3,126.0,175,902,28,141
80,169.2,668.9,127.3,170,883,28,141
81,171.3,677.7,123.7,185,936,29,140
82,173.4,686.2,122.4,191,956,29,140
83,175.5,694.7,122.4,191,956,29,141
84,177.6,703.2,122.5,190,955,29,141
85,179.6,711.7,121.8,194,966,29,142
86,181.8,720.5,123.8,184,934,28,142
87,183.9,728.9,125.9,175,903,28,143
88,185.9,737.0,126.0,175,902,29,143
89,188.0,745.5,124.8,180,919,29,143
90,190.1,753.8,124.8,180,919,29,143
91,192.2,762.0,126.3,174,897,29,143
92,194.2,770.0,126.0,175,902,29,144
93,196.3,778.3,126.6,172,893,29,144
94,198.4,786.5,128.0,167,874,29,144
95,200.5,794.6,128.0,167,874,29,144
96,202.5,802.8,127.0,171,888,29,145
97,204.6,811.2,125.7,176,906,29,145
98,206.7,819.3,125.8,176,905,28,145
99,208.8,827.7,127.0,171,888,28,147
100,211.0,836.3,126.7,172,892,28,147
101,213.1,844.8,122.9,189,948,29,148
102,215.1,853.2,123.4,186,941,29,148
103,217.2,861.6,124.7,180,921,29,148
104,219.3,870.4,118.7,209,1020,29,148
105,221.5,879.5,118.7,209,1020,29,148
106,223.6,888.5,119.9,203,998,28,148
107,225.6,896.8,119.9,203,998,28,148
108,227.8,905.5,124.6,181,922,28,147
109,229.9,913.9,124.4,182,925,29,147
110,232.0,922.5,125.7,176,906,28,146
111,234.2,931.0,126.1,175,900,28,147
112,236.3,939.1,128.5,165,867,29,148
113,238.4,947.3,128.5,165,867,29,148
114,242.2,955.4,129.3,162,857,29,148
115,244.3,963.9,127.9,167,875,29,149
116,246.5,972.3,129.6,161,853,29,150
117,248.9,980.1,150.3,103,654,29,150
118,251.4,987.6,165.9,77,563,29,150
119,253.9,995.0,173.1,67,532,29,151
120,256.5,1002.4,174.3,66,527,29,151
121,259.0,1009.7,175.7,65,522,29,151
122,261.5,1016.9,173.2,67,531,29,151
123,264.0,1024.2,173.2,67,531,29,151
124,266.5,1031.6,168.3,73,552,29,151
125,268.9,1038.7,165.5,77,565,29,151
126,271.4,1046.2,165.5,77,565,29,151
127,273.7,1053.6,162.5,82,580,29,151
128,276.3,1061.7,159.0,87,599,29,150
129,278.8,1069.5,159.0,87,599,29,150
130,281.3,1077.3,160.6,84,590,29,150
131,283.7,1084.9,160.6,84,590,29,150
132,286.3,1093.1,160.2,85,592,29,149
133,288.8,1101.2,157.2,90,610,29,147
134,291.1,1108.7,155.4,93,620,29,145
135,293.5,1116.3,158.8,87,600,29,145
136,295.9,1123.9,159.8,86,595,29,145
137,298.4,1131.6,159.8,86,595,29,145
138,300.8,1139.1,160.3,85,592,29,145
139,303.2,1146.6,160.9,84,589,29,145
140,305.7,1154.3,160.9,84,589,29,145
141,308.1,1162.0,159.6,86,596,29,146
142,310.5,1169.5,161.9,82,583,29,146
143,313.0,1177.1,161.9,82,583,29,146
144,315.3,1184.5,161.3,83,587,29,145
145,317.8,1192.1,159.6,86,596,29,144
146,320.1,1199.6,155.4,93,620,29,144
147,322.5,1207.2,155.4,93,620,29,143
148,324.9,1215.0,158.6,88,601,29,143
149,327.3,1222.6,157.8,89,606,29,142
150,329.7,1230.3,157.8,89,606,29,141
151,332.1,1237.9,158.4,88,603,29,140
152,334.5,1245.7,156.2,92,616,29,139
153,336.8,1253.2,156.8,91,612,29,137
154,339.2,1260.8,156.6,91,613,29,137
155,341.6,1268.4,155.6,93,619,29,137
156,343.9,1276.0,155.6,93,619,29,137
157,346.4,1283.9,158.4,88,603,29,137
158,348.7,1291.1,159.5,86,596,29,137
159,351.0,1298.5,158.5,88,602,29,138
160,353.4,1305.8,160.2,85,592,29,139
161,355.7,1313.1,161.3,83,587,29,140
162,358.1,1320.5,161.3,83,587,29,140
163,360.5,1327.9,162.4,82,581,29,141
164,362.8,1335.3,162.3,82,581,29,142
165,365.2,1342.7,162.5,82,580,29,142
166,367.5,1349.7,162.8,81,579,29,142
167,369.8,1356.8,162.9,81,578,29,142
168,372.1,1364.0,163.0,81,578,29,140
169,374.5,1371.2,165.1,78,567,29,140
170,376.8,1378.4,165.1,78,567,29,140
171,379.2,1385.8,161.7,83,584,29,140
172,381.6,1393.5,155.4,93,620,29,140
173,383.9,1401.0,155.8,93,618,29,139
174,386.2,1408.0,162.7,81,579,29,139
175,388.4,1414.9,161.3,83,587,29,136
176,390.6,1422.2,158.5,88,602,29,134
177,392.9,1429.5,154.9,94,624,29,131
178,395.2,1437.2,153.2,97,635,29,130
179,397.6,1445.0,154.0,96,629,29,130
180,399.9,1452.6,155.8,93,618,29,130
181,402.2,1460.1,152.0,100,643,29,131
182,404.6,1467.9,152.0,100,643,29,131
183,406.9,1475.5,152.6,98,638,29,131
184,409.2,1483.2,153.4,97,633,29,132
185,411.5,1490.5,152.9,98,636,29,132
186,413.7,1497.8,157.4,90,608,29,132
187,416.0,1505.0,156.4,91,614,29,132
188,418.3,1512.6,156.1,92,616,29,133
189,420.7,1520.2,155.9,92,617,29,133
190,0.0,0.8,155.9,92,617,29,134
191,0.8,3.9,138.9,131,749,,134
192,3.0,12.0,135.6,140,783,27,134
193,5.2,20.1,137.7,134,761,27,134
194,7.5,28.2,137.7,134,761,27,134
195,9.7,36.5,134.4,144,796,27,134
196,11.9,45.0,134.4,144,796,27,135
197,14.0,53.4,128.0,167,874,29,135
198,16.1,61.4,130.2,159,845,29,136
199,18.2,69.4,131.7,153,827,29,135
200,20.2,77.2,131.7,153,827,29,135
201,22.3,85.4,129.5,161,854,28,135
202,24.4,93.5,130.0,159,848,29,135
203,26.5,101.4,131.4,154,830,29,135
204,28.6,109.6,131.4,154,830,29,135
205,30.8,117.9,132.0,152,823,28,136
206,33.2,127.0,129.1,163,859,26,136
207,35.4,135.8,129.1,163,859,26,136
208,37.6,144.4,129.5,161,854,27,136
209,39.8,152.8,129.5,161,854,27,136
210,42.0,161.2,129.4,162,855,28,138
